d_loss,epoch,fid,global_step,loss_blur,loss_charb,loss_color,loss_dino,loss_fm,loss_gan_d,loss_gan_g,loss_perc,loss_ssim,psnr,runtime/is_pixel_space,ssim,step,train_loss,warmup_ratio
1.7257084846496582,0,,,0.01794220693409443,0.027531057596206665,0.002393685281276703,0.0,0.20635651051998138,1.7257084846496582,-2.455906629562378,0.09809140115976334,0.1133495569229126,,0.0,,49,0.20674000680446625,0.0044999998062849045
1.8857262134552002,1,,,0.02042332850396633,0.03191367909312248,0.0027553935069590807,0.0,0.2019217163324356,1.8857262134552002,-2.7717137336730957,0.11873751878738403,0.13060039281845093,,,,99,0.20285625755786896,0.009499999694526196
2.122171640396118,2,,,0.026388775557279587,0.03290648013353348,0.001836669514887035,0.0,0.23609629273414612,2.122171640396118,-3.24513840675354,0.07335624098777771,0.0801270604133606,,,,149,0.23717482388019562,0.014499999582767487
1.9672176837921143,3,,,0.03133822977542877,0.04033759981393814,0.002033407799899578,0.0,0.27026116847991943,1.9672176837921143,-2.934772491455078,0.12212301790714264,0.137892484664917,,,,199,0.27242472767829895,0.019500000402331352
2.034141778945923,4,,,0.01961313933134079,0.02842766046524048,0.0018397602252662182,0.0,0.20910105109214783,2.034141778945923,-3.0686471462249756,0.09627063572406769,0.11982405185699463,,,,249,0.21129165589809418,0.02449999935925007
2.1059436798095703,4,,,0.01537233591079712,0.023270931094884872,0.0012793659698218107,0.0,0.20069512724876404,2.1059436798095703,-3.212055206298828,0.07117015868425369,0.09092527627944946,,,,299,0.20274733006954193,0.029500000178813934
2.163813829421997,5,,,0.03459285572171211,0.04785770922899246,0.003771742107346654,0.0,0.25177228450775146,2.163813829421997,-3.3276965618133545,0.12444747984409332,0.15449082851409912,,,,349,0.25615450739860535,0.03449999913573265
2.1224987506866455,6,,,0.017553701996803284,0.02482551895081997,0.0009528851369395852,0.0,0.20587584376335144,2.1224987506866455,-3.2451531887054443,0.08289024233818054,0.09151870012283325,,,,399,0.208700492978096,0.039500001817941666
2.2181334495544434,7,,,0.017288565635681152,0.028195437043905258,0.0020684567280113697,0.0,0.2294159084558487,2.2181334495544434,-3.4364848136901855,0.0951836034655571,0.11751735210418701,,,,449,0.2333284318447113,0.04450000077486038
2.1150553226470947,8,,,0.018630705773830414,0.03082156926393509,0.0031819369178265333,0.0,0.21100185811519623,2.1150553226470947,-3.2301318645477295,0.12428128719329834,0.14124417304992676,,,,499,0.2160773128271103,0.0494999997317791
2.1538784503936768,9,,,0.0398351289331913,0.048525821417570114,0.030978646129369736,0.0,0.22948628664016724,2.1538784503936768,-3.307833671569824,0.10916049778461456,0.13556623458862305,,,,549,0.2360180914402008,0.054499998688697815
2.1674420833587646,9,,,0.01704614982008934,0.028385236859321594,0.001154353260062635,0.0,0.1997799426317215,2.1674420833587646,-3.3349878787994385,0.097621388733387,0.14388126134872437,,,,599,0.20580348372459412,0.05950000137090683
,9,97.89329528808594,1200.0,,,,,,,,,,22.39860725402832,,0.8713570237159729,599,,
2.1984097957611084,10,,,0.013791030272841454,0.024160519242286682,0.002960885176435113,0.0,0.2231570929288864,2.1984097957611084,-3.396852731704712,0.08320844918489456,0.11314511299133301,,,,649,0.22841839492321014,0.06449999660253525
2.140883445739746,11,,,0.01697852835059166,0.02443966083228588,0.011458683758974075,0.0,0.2421714961528778,2.140883445739746,-3.2818267345428467,0.08043765276670456,0.09319835901260376,,,,699,0.24720752239227295,0.06949999928474426
2.0733585357666016,12,,,0.019146429374814034,0.030357979238033295,0.0044338637962937355,0.0,0.2229064553976059,2.0733585357666016,-3.1467647552490234,0.11575038731098175,0.1343238353729248,,,,749,0.23025952279567719,0.07450000196695328
2.332758903503418,13,,,0.02585640549659729,0.03582102432847023,0.001485401182435453,0.0,0.21407118439674377,2.332758903503418,-3.665527820587158,0.0848802924156189,0.13330668210983276,,,,799,0.22232657670974731,0.0794999971985817
2.1938788890838623,14,,,0.01620510034263134,0.025380369275808334,0.003037145361304283,0.0,0.21684855222702026,2.1938788890838623,-3.387787342071533,0.10168786346912384,0.10156905651092529,,,,849,0.22336578369140625,0.08449999988079071
2.0921788215637207,14,,,0.014731909148395061,0.023337719962000847,0.005805737338960171,0.0,0.19790926575660706,2.0921788215637207,-3.1844379901885986,0.08466660976409912,0.10261517763137817,,,,899,0.20468193292617798,0.08950000256299973
2.230942726135254,15,,,0.018025675788521767,0.027952823787927628,0.002308865077793598,0.0,0.22489355504512787,2.230942726135254,-3.4619252681732178,0.10159777849912643,0.1067882776260376,,,,949,0.2326769232749939,0.09449999779462814
2.2204761505126953,16,,,0.017397291958332062,0.02558743581175804,0.003629178274422884,0.0,0.22216472029685974,2.2204761505126953,-3.440974473953247,0.08439704775810242,0.11574608087539673,,,,999,0.2305736392736435,0.09950000047683716
2.247101306915283,17,,,0.02238789014518261,0.027818836271762848,0.0017232096288353205,0.0,0.20708823204040527,2.247101306915283,-3.4942221641540527,0.08579810708761215,0.09111303091049194,,,,1049,0.21488194167613983,0.10450000315904617
2.2596447467803955,18,,,0.025785353034734726,0.03316618502140045,0.002633351366966963,0.0,0.2056373953819275,2.2596447467803955,-3.519306182861328,0.08741460740566254,0.09166926145553589,,,,1099,0.21444357931613922,0.10949999839067459
2.1490187644958496,19,,,0.025207852944731712,0.03452058881521225,0.0037855985574424267,0.0,0.20436374843120575,2.1490187644958496,-3.2980458736419678,0.12089675664901733,0.11662226915359497,,,,1149,0.21515896916389465,0.1145000010728836
2.2952213287353516,19,,,0.014831295236945152,0.024712562561035156,0.001927559613250196,0.0,0.2257145196199417,2.2952213287353516,-3.5904672145843506,0.07906758040189743,0.09536701440811157,,,,1199,0.23446598649024963,0.11949999630451202
,19,104.98868560791016,2400.0,,,,,,,,,,22.998037338256836,,0.8708300590515137,1199,,
2.084165334701538,20,,,0.01739957556128502,0.02654077857732773,0.004034173674881458,0.0,0.21155260503292084,2.084165334701538,-3.1683437824249268,0.10168378055095673,0.09962570667266846,,,,1249,0.22119206190109253,0.12449999898672104
2.1655218601226807,21,,,0.018856491893529892,0.027327604591846466,0.00261174188926816,0.0,0.21164052188396454,2.1655218601226807,-3.33107328414917,0.11895786225795746,0.14313554763793945,,,,1299,0.22458648681640625,0.12950000166893005
2.1113882064819336,22,,,0.017296243458986282,0.023330718278884888,0.013641441240906715,0.0,0.21387584507465363,2.1113882064819336,-3.2227935791015625,0.08933131396770477,0.09501755237579346,,,,1349,0.22361181676387787,0.13449999690055847
2.0475873947143555,23,,,0.015832066535949707,0.027479439973831177,0.01089155301451683,0.0,0.22361871600151062,2.0475873947143555,-3.095176935195923,0.08863255381584167,0.14607560634613037,,,,1399,0.23782727122306824,0.13950000703334808
