decoder_grad_norm,diag_sft_hq_psnr_full,diag_sft_mmse_psnr_full,encoder_grad_norm,epoch,fid,flow_gain_psnr,fmir_grad_norm,global_step,gpu_peak_allocated_gb,latent_delta_cosine,latent_gain_charb,loss_fm,loss_gan_d,loss_gan_g,loss_mmse_char,loss_pixel_total,lr,mmse_grad_norm,psnr,ssim,step,train_loss,warmup_ratio,wavelet_grad_norm
,,,,0,,,0.00014596735127270222,,,,,0.005072616506367922,0.0,0.0,0.0656384527683258,0.0,9.999999747378752e-05,,,,49,0.011636462062597275,0.0,
,,,,0,,,0.00014596735127270222,,,,,0.005072616506367922,0.0,0.0,0.0656384527683258,0.0,9.999999747378752e-05,,,,99,0.011636462062597275,0.0,
,,,,0,,,0.000133012086735107,,,,,0.005137216299772263,0.0,0.0,0.05361948534846306,0.00035768261295743287,9.999998292187229e-05,,,,149,0.010856847278773785,0.004999999888241291,
,,,,0,,,0.000133012086735107,,,,,0.005137216299772263,0.0,0.0,0.05361948534846306,0.00035768261295743287,9.999998292187229e-05,,,,199,0.010856847278773785,0.004999999888241291,
,,,,0,,,0.00010394800483481959,,,,,0.005193410441279411,0.0,0.0,0.05643129348754883,0.0007668305188417435,9.99999392661266e-05,,,,249,0.011603370308876038,0.009999999776482582,
,,,,0,,,0.00010394800483481959,,,,,0.005193410441279411,0.0,0.0,0.05643129348754883,0.0007668305188417435,9.99999392661266e-05,,,,299,0.011603370308876038,0.009999999776482582,
,,,,0,,,0.00014050037134438753,,,,,0.003932042513042688,0.0,0.0,0.04720854014158249,0.0014028542209416628,9.999985923059285e-05,,,,349,0.010055750608444214,0.014999999664723873,
,,,,0,,,0.00014050037134438753,,,,,0.003932042513042688,0.0,0.0,0.04720854014158249,0.0014028542209416628,9.999985923059285e-05,,,,399,0.010055750608444214,0.014999999664723873,
,,,,0,,,0.00010321805166313425,,,,,0.0033279622439295053,0.0,0.0,0.05901799723505974,0.0014217958087101579,9.999975736718625e-05,,,,449,0.010651558637619019,0.019999999552965164,
0.005547918379306793,,,0.18221788108348846,0,,,0.015553215518593788,,,,,0.0033279622439295053,0.0,0.0,0.05901799723505974,0.0014217958087101579,9.999975736718625e-05,0.019717369228601456,,,499,0.010651558637619019,0.019999999552965164,0.002170782070606947
0.005547918379306793,,,0.18221788108348846,0,,,0.00018420969718135893,,,,,0.0048794494941830635,0.0,0.0,0.04284760355949402,0.0017468605656176805,9.999961912399158e-05,0.019717369228601456,,,549,0.010911070741713047,0.02500000037252903,0.002170782070606947
